Var1	Freq
1	HLA-A01:01	731
2	HLA-A02:01	1758
3	HLA-A03:01	639
4	HLA-A11:01	154
5	HLA-A24:02	760
6	HLA-A26:01	1082
7	HLA-A29:02	622
8	HLA-A30:01	248
9	HLA-A30:02	451
10	HLA-A34:02	676
11	HLA-A68:02	144
12	HLA-B07:02	415
13	HLA-B08:01	782
14	HLA-B13:01	42
15	HLA-B13:02	317
16	HLA-B14:02	658
17	HLA-B15:01	1129
18	HLA-B18:01	147
19	HLA-B27:02	146
20	HLA-B27:05	395
21	HLA-B38:01	730
22	HLA-B39:05	720
23	HLA-B40:01	896
24	HLA-B44:02	289
25	HLA-B44:03	651
26	HLA-B44:05	1111
27	HLA-B51:01	292
28	HLA-B53:01	189
29	HLA-B55:01	145
30	HLA-B56:01	113
31	HLA-B57:01	740
32	HLA-B57:03	445
33	HLA-C01:02	559
34	HLA-C02:02	1112
35	HLA-C03:03	844
36	HLA-C03:04	807
37	HLA-C04:01	261
38	HLA-C05:01	703
39	HLA-C06:02	1246
40	HLA-C07:01	951
41	HLA-C07:02	1301
42	HLA-C08:02	789
43	HLA-C12:03	608
44	HLA-C16:01	207
45	HLA-C18:01	832
