Var1	Freq
1	HLA-A01:01	568
2	HLA-A02:01	1368
3	HLA-A03:01	487
4	HLA-A11:01	122
5	HLA-A24:02	593
6	HLA-A26:01	853
7	HLA-A29:02	493
8	HLA-A30:01	200
9	HLA-A30:02	376
10	HLA-A34:02	513
11	HLA-A68:02	104
12	HLA-B07:02	331
13	HLA-B08:01	609
14	HLA-B13:01	35
15	HLA-B13:02	259
16	HLA-B14:02	505
17	HLA-B15:01	919
18	HLA-B18:01	124
19	HLA-B27:02	115
20	HLA-B27:05	297
21	HLA-B38:01	589
22	HLA-B39:05	574
23	HLA-B40:01	711
24	HLA-B44:02	225
25	HLA-B44:03	522
26	HLA-B44:05	871
27	HLA-B51:01	226
28	HLA-B53:01	151
29	HLA-B55:01	111
30	HLA-B56:01	86
31	HLA-B57:01	597
32	HLA-B57:03	359
33	HLA-C01:02	432
34	HLA-C02:02	874
35	HLA-C03:03	656
36	HLA-C03:04	620
37	HLA-C04:01	206
38	HLA-C05:01	557
39	HLA-C06:02	984
40	HLA-C07:01	760
41	HLA-C07:02	1001
42	HLA-C08:02	613
43	HLA-C12:03	494
44	HLA-C16:01	171
45	HLA-C18:01	657
