Var1	Freq
1	HLA-A01:01	163
2	HLA-A02:01	390
3	HLA-A03:01	152
4	HLA-A11:01	32
5	HLA-A24:02	167
6	HLA-A26:01	229
7	HLA-A29:02	129
8	HLA-A30:01	48
9	HLA-A30:02	75
10	HLA-A34:02	163
11	HLA-A68:02	40
12	HLA-B07:02	84
13	HLA-B08:01	173
14	HLA-B13:01	7
15	HLA-B13:02	58
16	HLA-B14:02	153
17	HLA-B15:01	210
18	HLA-B18:01	23
19	HLA-B27:02	31
20	HLA-B27:05	98
21	HLA-B38:01	141
22	HLA-B39:05	146
23	HLA-B40:01	185
24	HLA-B44:02	64
25	HLA-B44:03	129
26	HLA-B44:05	240
27	HLA-B51:01	66
28	HLA-B53:01	38
29	HLA-B55:01	34
30	HLA-B56:01	27
31	HLA-B57:01	143
32	HLA-B57:03	86
33	HLA-C01:02	127
34	HLA-C02:02	238
35	HLA-C03:03	188
36	HLA-C03:04	187
37	HLA-C04:01	55
38	HLA-C05:01	146
39	HLA-C06:02	262
40	HLA-C07:01	191
41	HLA-C07:02	300
42	HLA-C08:02	176
43	HLA-C12:03	114
44	HLA-C16:01	36
45	HLA-C18:01	175
