1 Sample	2 Samples	3 Samples	4 Samples	5 Samples	6 Samples	7 Samples	8 Samples	9 Samples	10 Samples	11 Samples
HLA-A02:01	18.0887372013652	13.1968145620023	9.55631399317406	8.98748577929465	8.02047781569966	8.19112627986348	7.33788395904437	6.8259385665529	6.25711035267349	6.5415244596132	6.99658703071672
HLA-A34:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B08:01	55.8823529411765	31.5856777493606	12.5319693094629	0	0	0	0	0	0	0	0
HLA-B57:01	39.7297297297297	40.6756756756757	19.5945945945946	0	0	0	0	0	0	0	0
HLA-C07:01	65.9305993690852	29.4426919032597	4.6267087276551	0	0	0	0	0	0	0	0
HLA-C06:02	42.4558587479936	41.4125200642055	12.6003210272873	3.53130016051364	0	0	0	0	0	0	0
HLA-A24:02	48.9473684210526	15.5263157894737	13.6842105263158	21.8421052631579	0	0	0	0	0	0	0
HLA-A68:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B53:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C04:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C05:01	96.1593172119488	3.84068278805121	0	0	0	0	0	0	0	0	0
HLA-A01:01	35.7045143638851	16.0054719562244	12.0383036935705	14.3638850889193	21.8878248974008	0	0	0	0	0	0
HLA-A29:02	80.2250803858521	19.7749196141479	0	0	0	0	0	0	0	0	0
HLA-B56:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C01:02	91.9499105545617	8.05008944543828	0	0	0	0	0	0	0	0	0
HLA-A30:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B13:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B07:02	30.6024096385542	25.7831325301205	43.6144578313253	0	0	0	0	0	0	0	0
HLA-C07:02	66.3335895465027	27.2098385857033	4.91929285165257	1.46041506533436	0.0768639508070715	0	0	0	0	0	0
HLA-A26:01	37.9852125693161	28.4658040665434	33.5489833641405	0	0	0	0	0	0	0	0
HLA-B38:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:02	100	0	0	0	0	0	0	0	0	0	0
HLA-C12:03	100	0	0	0	0	0	0	0	0	0	0
HLA-B40:01	64.2857142857143	35.7142857142857	0	0	0	0	0	0	0	0	0
HLA-B14:02	96.2006079027356	3.79939209726444	0	0	0	0	0	0	0	0	0
HLA-C03:04	63.0731102850062	36.4312267657993	0.495662949194548	0	0	0	0	0	0	0	0
HLA-C08:02	100	0	0	0	0	0	0	0	0	0	0
HLA-A11:01	97.4025974025974	2.5974025974026	0	0	0	0	0	0	0	0	0
HLA-B15:01	72.0992028343667	23.0292294065545	4.87156775907883	0	0	0	0	0	0	0	0
HLA-C03:03	51.7772511848341	40.0473933649289	4.50236966824645	3.67298578199052	0	0	0	0	0	0	0
HLA-B13:01	100	0	0	0	0	0	0	0	0	0	0
HLA-A03:01	34.8982785602504	13.6150234741784	14.5539906103286	36.9327073552426	0	0	0	0	0	0	0
HLA-B44:03	60.2150537634409	39.7849462365591	0	0	0	0	0	0	0	0	0
HLA-C16:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:05	59.6759675967597	40.3240324032403	0	0	0	0	0	0	0	0	0
HLA-B27:05	49.3670886075949	50.6329113924051	0	0	0	0	0	0	0	0	0
HLA-C02:02	39.568345323741	32.1942446043165	15.6474820143885	12.589928057554	0	0	0	0	0	0	0
HLA-A30:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B39:05	100	0	0	0	0	0	0	0	0	0	0
HLA-B57:03	100	0	0	0	0	0	0	0	0	0	0
HLA-C18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B51:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B27:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B55:01	100	0	0	0	0	0	0	0	0	0	0
