1 Sample	2 Samples	3 Samples	4 Samples	5 Samples	6 Samples	7 Samples	8 Samples	9 Samples	10 Samples	11 Samples
HLA-A02:01	21.2820512820513	13.5897435897436	9.48717948717949	10.5128205128205	7.94871794871795	7.94871794871795	8.71794871794872	5.12820512820513	4.87179487179487	5.12820512820513	5.38461538461539
HLA-A34:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B08:01	56.6473988439306	31.7919075144509	11.5606936416185	0	0	0	0	0	0	0	0
HLA-B57:01	44.0559440559441	40.5594405594406	15.3846153846154	0	0	0	0	0	0	0	0
HLA-C07:01	69.6335078534031	26.7015706806283	3.66492146596859	0	0	0	0	0	0	0	0
HLA-C06:02	45.4198473282443	40.4580152671756	10.6870229007634	3.43511450381679	0	0	0	0	0	0	0
HLA-A24:02	50.8982035928144	11.377245508982	13.7724550898204	23.9520958083832	0	0	0	0	0	0	0
HLA-A68:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B53:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C04:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C05:01	96.5753424657534	3.42465753424658	0	0	0	0	0	0	0	0	0
HLA-A01:01	40.4907975460123	11.6564417177914	14.1104294478528	15.3374233128834	18.4049079754601	0	0	0	0	0	0
HLA-A29:02	79.8449612403101	20.1550387596899	0	0	0	0	0	0	0	0	0
HLA-B56:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C01:02	92.9133858267717	7.08661417322835	0	0	0	0	0	0	0	0	0
HLA-A30:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B13:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B07:02	27.3809523809524	26.1904761904762	46.4285714285714	0	0	0	0	0	0	0	0
HLA-C07:02	69	26.3333333333333	4.66666666666667	0	0	0	0	0	0	0	0
HLA-A26:01	38.4279475982533	28.82096069869	32.7510917030568	0	0	0	0	0	0	0	0
HLA-B38:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:02	100	0	0	0	0	0	0	0	0	0	0
HLA-C12:03	100	0	0	0	0	0	0	0	0	0	0
HLA-B40:01	62.1621621621622	37.8378378378378	0	0	0	0	0	0	0	0	0
HLA-B14:02	97.3856209150327	2.61437908496732	0	0	0	0	0	0	0	0	0
HLA-C03:04	65.24064171123	34.7593582887701	0	0	0	0	0	0	0	0	0
HLA-C08:02	100	0	0	0	0	0	0	0	0	0	0
HLA-A11:01	93.75	6.25	0	0	0	0	0	0	0	0	0
HLA-B15:01	73.8095238095238	23.8095238095238	2.38095238095238	0	0	0	0	0	0	0	0
HLA-C03:03	51.5957446808511	42.5531914893617	3.72340425531915	2.12765957446809	0	0	0	0	0	0	0
HLA-B13:01	100	0	0	0	0	0	0	0	0	0	0
HLA-A03:01	31.5789473684211	14.4736842105263	17.1052631578947	36.8421052631579	0	0	0	0	0	0	0
HLA-B44:03	64.3410852713178	35.6589147286822	0	0	0	0	0	0	0	0	0
HLA-C16:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:05	64.5833333333333	35.4166666666667	0	0	0	0	0	0	0	0	0
HLA-B27:05	48.9795918367347	51.0204081632653	0	0	0	0	0	0	0	0	0
HLA-C02:02	38.2352941176471	33.1932773109244	15.546218487395	13.0252100840336	0	0	0	0	0	0	0
HLA-A30:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B39:05	100	0	0	0	0	0	0	0	0	0	0
HLA-B57:03	100	0	0	0	0	0	0	0	0	0	0
HLA-C18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B51:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B27:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B55:01	100	0	0	0	0	0	0	0	0	0	0
