1 Sample	2 Samples	3 Samples	4 Samples	5 Samples	6 Samples	7 Samples	8 Samples	9 Samples	10 Samples	11 Samples
HLA-A02:01	17.1783625730994	13.0847953216374	9.57602339181287	8.55263157894737	8.04093567251462	8.26023391812866	6.94444444444444	7.30994152046784	6.65204678362573	6.94444444444444	7.45614035087719
HLA-A34:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B08:01	55.6650246305419	31.5270935960591	12.807881773399	0	0	0	0	0	0	0	0
HLA-B57:01	38.6934673366834	40.7035175879397	20.6030150753769	0	0	0	0	0	0	0	0
HLA-C07:01	65	30.1315789473684	4.86842105263158	0	0	0	0	0	0	0	0
HLA-C06:02	41.6666666666667	41.6666666666667	13.109756097561	3.55691056910569	0	0	0	0	0	0	0
HLA-A24:02	48.397976391231	16.6947723440135	13.6593591905565	21.247892074199	0	0	0	0	0	0	0
HLA-A68:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B53:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C04:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C05:01	96.0502692998205	3.94973070017953	0	0	0	0	0	0	0	0	0
HLA-A01:01	34.330985915493	17.2535211267606	11.443661971831	14.0845070422535	22.887323943662	0	0	0	0	0	0
HLA-A29:02	80.3245436105477	19.6754563894523	0	0	0	0	0	0	0	0	0
HLA-B56:01	100	0	0	0	0	0	0	0	0	0	0
HLA-C01:02	91.6666666666667	8.33333333333333	0	0	0	0	0	0	0	0	0
HLA-A30:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B13:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B07:02	31.4199395770393	25.6797583081571	42.9003021148036	0	0	0	0	0	0	0	0
HLA-C07:02	65.5344655344655	27.4725274725275	4.995004995005	1.8981018981019	0.0999000999000999	0	0	0	0	0	0
HLA-A26:01	37.8663540445487	28.3704572098476	33.7631887456037	0	0	0	0	0	0	0	0
HLA-B38:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:02	100	0	0	0	0	0	0	0	0	0	0
HLA-C12:03	100	0	0	0	0	0	0	0	0	0	0
HLA-B40:01	64.8382559774965	35.1617440225035	0	0	0	0	0	0	0	0	0
HLA-B14:02	95.8415841584158	4.15841584158416	0	0	0	0	0	0	0	0	0
HLA-C03:04	62.4193548387097	36.9354838709677	0.645161290322581	0	0	0	0	0	0	0	0
HLA-C08:02	100	0	0	0	0	0	0	0	0	0	0
HLA-A11:01	98.3606557377049	1.63934426229508	0	0	0	0	0	0	0	0	0
HLA-B15:01	71.7083786724701	22.8509249183896	5.44069640914037	0	0	0	0	0	0	0	0
HLA-C03:03	51.8292682926829	39.3292682926829	4.72560975609756	4.11585365853659	0	0	0	0	0	0	0
HLA-B13:01	100	0	0	0	0	0	0	0	0	0	0
HLA-A03:01	35.9342915811088	13.347022587269	13.7577002053388	36.9609856262834	0	0	0	0	0	0	0
HLA-B44:03	59.1954022988506	40.8045977011494	0	0	0	0	0	0	0	0	0
HLA-C16:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B44:05	58.3237657864524	41.6762342135476	0	0	0	0	0	0	0	0	0
HLA-B27:05	49.4949494949495	50.5050505050505	0	0	0	0	0	0	0	0	0
HLA-C02:02	39.9313501144165	31.9221967963387	15.675057208238	12.4713958810069	0	0	0	0	0	0	0
HLA-A30:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B39:05	100	0	0	0	0	0	0	0	0	0	0
HLA-B57:03	100	0	0	0	0	0	0	0	0	0	0
HLA-C18:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B51:01	100	0	0	0	0	0	0	0	0	0	0
HLA-B27:02	100	0	0	0	0	0	0	0	0	0	0
HLA-B55:01	100	0	0	0	0	0	0	0	0	0	0
