HLA-A01:01	HLA-A02:01	HLA-A03:01	HLA-A11:01	HLA-A24:02	HLA-A26:01	HLA-A29:02	HLA-A30:01	HLA-A30:02	HLA-A34:02	HLA-A68:02	HLA-B07:02	HLA-B08:01	HLA-B13:01	HLA-B13:02	HLA-B14:02	HLA-B15:01	HLA-B18:01	HLA-B27:02	HLA-B27:05	HLA-B38:01	HLA-B39:05	HLA-B40:01	HLA-B44:02	HLA-B44:03	HLA-B44:05	HLA-B51:01	HLA-B53:01	HLA-B55:01	HLA-B56:01	HLA-B57:01	HLA-B57:03	HLA-C01:02	HLA-C02:02	HLA-C03:03	HLA-C03:04	HLA-C04:01	HLA-C05:01	HLA-C06:02	HLA-C07:01	HLA-C07:02	HLA-C08:02	HLA-C12:03	HLA-C16:01	HLA-C18:01
HLA-A01:01	1	0.283088235294118	0.186788154897494	0.392857142857143	0.0698529411764706	0.106617647058824	0.664596273291925	0.0737327188940092	0.115492957746479	0.0447154471544715	0.0151515151515152	0.0276073619631902	0.0772058823529412	0.0789473684210526	0.0651465798045603	0.0330882352941176	0.352941176470588	0.0367647058823529	0.0495867768595041	0.0191082802547771	0.09375	0.110294117647059	0.102941176470588	0.038961038961039	0.0355648535564854	0.00919117647058824	0.0352112676056338	0.0459770114942529	0	0.0217391304347826	0.123287671232877	0.0784313725490196	0.111531190926276	0.180147058823529	0.227941176470588	0.290441176470588	0.032258064516129	0.152573529411765	0.227941176470588	0.387867647058824	0.268382352941176	0.466911764705882	0.0790441176470588	0.35678391959799	0.176470588235294
HLA-A02:01	0.283088235294118	1	0.116173120728929	0.0357142857142857	0.431850789096126	0.286236297198538	0.072463768115942	0.423963133640553	0.349295774647887	0.00609756097560976	0.333333333333333	0.165644171779141	0.672301690507152	0.657894736842105	0.687296416938111	0.374392220421394	0.37782340862423	0.0220588235294118	0.31404958677686	0.410828025477707	0.386567164179104	0.417040358744395	0.398089171974522	0.0476190476190476	0.0585774058577406	0.0947867298578199	0.475352112676056	0.137931034482759	0.488549618320611	0.0760869565217391	0.191780821917808	0.439775910364146	0.771266540642722	0.579766536964981	0.671182266009852	0.731210191082802	0.161290322580645	0.730538922155689	0.656886715566422	0.50814332247557	0.298373983739837	0.664723032069971	0.631490787269682	0.150753768844221	0.671641791044776
HLA-A03:01	0.186788154897494	0.116173120728929	1	0.580357142857143	0.0501138952164009	0.104783599088838	0.223234624145786	0.28110599078341	0.166197183098592	0.261958997722096	0	0.0245398773006135	0.0523917995444191	0.0263157894736842	0.0586319218241042	0.0182232346241458	0.289293849658314	0	0.0909090909090909	0.0668789808917197	0.0136674259681093	0.0159453302961276	0.0113895216400911	0.012987012987013	0.0318906605922551	0.00455580865603645	0.0316901408450704	0.00574712643678161	0.0229007633587786	0	0.148063781321185	0.0812324929971989	0.061503416856492	0.177676537585421	0.0865603644646925	0.0478359908883827	0.00403225806451613	0.0387243735763098	0.186788154897494	0.225512528473804	0.225512528473804	0.0432801822323462	0.0888382687927107	0.346733668341709	0.0660592255125285
HLA-A11:01	0.392857142857143	0.0357142857142857	0.580357142857143	1	0.00892857142857143	0.0982142857142857	0.321428571428571	0.125	0.0446428571428571	0.348214285714286	0	0.00892857142857143	0	0.0263157894736842	0.00892857142857143	0	0.303571428571429	0	0.00892857142857143	0.0267857142857143	0	0.00892857142857143	0.00892857142857143	0.00892857142857143	0.0178571428571429	0	0	0	0.00892857142857143	0	0.0892857142857143	0.0446428571428571	0.00892857142857143	0.133928571428571	0.142857142857143	0.116071428571429	0	0.00892857142857143	0.151785714285714	0.25	0.196428571428571	0.196428571428571	0.0357142857142857	0.0714285714285714	0.00892857142857143
HLA-A24:02	0.0698529411764706	0.431850789096126	0.0501138952164009	0.00892857142857143	1	0.117647058823529	0.0579710144927536	0.161290322580645	0.216901408450704	0.00203252032520325	0.151515151515152	0.128834355828221	0.279770444763271	0.210526315789474	0.162866449511401	0.157212317666126	0.477761836441894	0.323529411764706	0.198347107438017	0.168789808917197	0.192537313432836	0.197309417040359	0.138535031847134	0.0432900432900433	0.0230125523012552	0.0272596843615495	0.112676056338028	0.367816091954023	0.0763358778625954	0.0108695652173913	0.107632093933464	0.26890756302521	0.321361058601134	0.288378766140603	0.430416068866571	0.322812051649928	0.794354838709677	0.311377245508982	0.375896700143472	0.319942611190818	0.691535150645624	0.262390670553936	0.229480737018425	0.110552763819095	0.311334289813486
HLA-A26:01	0.106617647058824	0.286236297198538	0.104783599088838	0.0982142857142857	0.117647058823529	1	0.169772256728778	0.0737327188940092	0.152112676056338	0.123983739837398	0.303030303030303	0.0337423312883436	0.165149544863459	0.131578947368421	0.100977198697068	0.100486223662885	0.191230207064555	0.352941176470588	0.0743801652892562	0.114649681528662	0.170149253731343	0.119581464872945	0.0875796178343949	0.41991341991342	0.240585774058577	0.169305724725944	0.193661971830986	0.241379310344828	0.206106870229008	0.0434782608695652	0.129158512720157	0.168067226890756	0.207939508506616	0.611449451887942	0.224137931034483	0.179617834394904	0.0685483870967742	0.239520958083832	0.265529841656516	0.20584652862363	0.170523751522533	0.142857142857143	0.581239530988275	0.185929648241206	0.149253731343284
HLA-A29:02	0.664596273291925	0.072463768115942	0.223234624145786	0.321428571428571	0.0579710144927536	0.169772256728778	1	0.0645161290322581	0.16056338028169	0.0600414078674948	0	0.0122699386503067	0.0331262939958592	0.0263157894736842	0.0260586319218241	0.0124223602484472	0.380952380952381	0.169117647058824	0.0743801652892562	0.035031847133758	0.0351966873706004	0.010351966873706	0.010351966873706	0.19047619047619	0.186192468619247	0.093167701863354	0.028169014084507	0.0747126436781609	0.00763358778625954	0.0217391304347826	0.194616977225673	0.100840336134454	0.0455486542443064	0.173913043478261	0.132505175983437	0.118012422360248	0.032258064516129	0.041407867494824	0.244306418219462	0.445134575569358	0.291925465838509	0.260869565217391	0.0848861283643892	0.608040201005025	0.05175983436853
HLA-A30:01	0.0737327188940092	0.423963133640553	0.28110599078341	0.125	0.161290322580645	0.0737327188940092	0.0645161290322581	1	0.262672811059908	0.0967741935483871	0.00757575757575758	0.244239631336406	0.184331797235023	0.0789473684210526	0.580645161290323	0.0414746543778802	0.271889400921659	0	0.107438016528926	0.0967741935483871	0.0691244239631336	0.0506912442396313	0.0506912442396313	0	0.0138248847926267	0.00921658986175115	0.0552995391705069	0.0114942528735632	0.0458015267175573	0.0217391304347826	0.165898617511521	0.161290322580645	0.165898617511521	0.248847926267281	0.211981566820276	0.170506912442396	0.0230414746543779	0.175115207373272	0.557603686635945	0.267281105990783	0.345622119815668	0.0783410138248848	0.179723502304147	0.0603015075376884	0.230414746543779
HLA-A30:02	0.115492957746479	0.349295774647887	0.166197183098592	0.0446428571428571	0.216901408450704	0.152112676056338	0.16056338028169	0.262672811059908	1	0.0535211267605634	0.00757575757575758	0.0429447852760736	0.180281690140845	0.105263157894737	0.156351791530945	0.0197183098591549	0.461971830985915	0.0367647058823529	0.173553719008264	0.130573248407643	0.107042253521127	0.146478873239437	0.0816901408450704	0.0303030303030303	0.0450704225352113	0.0197183098591549	0.0246478873239437	0.0402298850574713	0.0305343511450382	0.0108695652173913	0.377464788732394	0.563380281690141	0.16056338028169	0.304225352112676	0.23943661971831	0.216901408450704	0.032258064516129	0.183098591549296	0.433802816901408	0.450704225352113	0.557746478873239	0.132394366197183	0.202816901408451	0.256281407035176	0.349295774647887
HLA-A34:02	0.0447154471544715	0.00609756097560976	0.261958997722096	0.348214285714286	0.00203252032520325	0.123983739837398	0.0600414078674948	0.0967741935483871	0.0535211267605634	1	0.0151515151515152	0	0.0101626016260163	0	0.00325732899022801	0.00203252032520325	0.0365853658536585	0.00735294117647059	0	0.00318471337579618	0.0040650406504065	0.00203252032520325	0.00203252032520325	0.0173160173160173	0.0104602510460251	0.0040650406504065	0	0.0172413793103448	0	0	0.0731707317073171	0.0532212885154062	0.00609756097560976	0.0873983739837398	0.0182926829268293	0.0121951219512195	0	0.00813008130081301	0.0894308943089431	0.0934959349593496	0.0284552845528455	0.00203252032520325	0.0691056910569106	0.100502512562814	0.00609756097560976
