AML1	AML10	AML11	AML12	AML13	AML14	AML15	AML16	AML17	AML18	AML19	AML2	AML3	AML4	AML5	AML6	AML7	AML8	AML9
AML1	1	0.31	0.16	0.45	0.28	0.54	0.39	0.4	0.33	0.16	0.65	0.1	0.28	0.25	0.75	0.39	0.37	0.16	0.4
AML10	0.31	1	0.33	0.09	0.26	0.14	0.58	0.07	0.22	0.31	0.04	0.12	0.17	0.12	0.21	0.2	0.08	0.22	0.18
AML11	0.16	0.33	1	0.3	0.02	0.06	0.35	0.05	0.02	0.76	0.04	0.39	0.11	0.34	0.03	0.03	0.03	0.2	0.19
AML12	0.45	0.09	0.3	1	0.31	0.43	0.33	0.34	0.28	0.49	0.58	0.44	0.13	0.16	0.41	0.35	0.4	0.2	0.34
AML13	0.28	0.26	0.02	0.31	1	0.32	0.46	0.4	0.83	0.05	0.55	0.19	0.1	0.15	0.34	0.55	0.31	0.08	0.27
AML14	0.54	0.14	0.06	0.43	0.32	1	0.31	0.33	0.28	0.09	0.58	0.1	0.11	0.18	0.53	0.51	0.38	0.09	0.23
AML15	0.39	0.58	0.35	0.33	0.46	0.31	1	0.31	0.44	0.3	0.48	0.19	0.11	0.17	0.31	0.38	0.32	0.21	0.28
AML16	0.4	0.07	0.05	0.34	0.4	0.33	0.31	1	0.33	0.07	0.44	0.08	0.51	0.36	0.31	0.34	0.7	0.57	0.17
AML17	0.33	0.22	0.02	0.28	0.83	0.28	0.44	0.33	1	0.05	0.43	0.18	0.07	0.13	0.28	0.54	0.31	0.07	0.16
AML18	0.16	0.31	0.76	0.49	0.05	0.09	0.3	0.07	0.05	1	0.1	0.38	0.12	0.25	0.05	0.06	0.08	0.32	0.22
AML19	0.65	0.04	0.04	0.58	0.55	0.58	0.48	0.44	0.43	0.1	1	0.06	0.13	0.17	0.62	0.58	0.52	0.12	0.2
AML2	0.1	0.12	0.39	0.44	0.19	0.1	0.19	0.08	0.18	0.38	0.06	1	0.05	0.06	0.08	0.2	0.08	0.02	0.1
AML3	0.28	0.17	0.11	0.13	0.1	0.11	0.11	0.51	0.07	0.12	0.13	0.05	1	0.47	0.08	0.09	0.45	0.58	0.06
AML4	0.25	0.12	0.34	0.16	0.15	0.18	0.17	0.36	0.13	0.25	0.17	0.06	0.47	1	0.22	0.14	0.38	0.55	0.18
AML5	0.75	0.21	0.03	0.41	0.34	0.53	0.31	0.31	0.28	0.05	0.62	0.08	0.08	0.22	1	0.37	0.41	0.05	0.28
AML6	0.39	0.2	0.03	0.35	0.55	0.51	0.38	0.34	0.54	0.06	0.58	0.2	0.09	0.14	0.37	1	0.31	0.06	0.24
AML7	0.37	0.08	0.03	0.4	0.31	0.38	0.32	0.7	0.31	0.08	0.52	0.08	0.45	0.38	0.41	0.31	1	0.53	0.32
AML8	0.16	0.22	0.2	0.2	0.08	0.09	0.21	0.57	0.07	0.32	0.12	0.02	0.58	0.55	0.05	0.06	0.53	1	0.07
AML9	0.4	0.18	0.19	0.34	0.27	0.23	0.28	0.17	0.16	0.22	0.2	0.1	0.06	0.18	0.28	0.24	0.32	0.07	1
