B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2949.03B	0.117565120107133	0.0457407246070768	0.0755787319346501	0.0126961832582259	0	0.0817788889502372	0	0	0	0	0.106617162537114	0	0.450431439176356	0	0	0.0100430192104075	0	0	0.0291844794919269	0.0101280075362298	0.0602362431906436	0	0.002	0.383492930385748	0.92854930807175
TCGA.AB.2943.03A	0.201676744745044	0	0.0763865645768952	0.0619704127880983	0	0.32553349193623	0	0	0.00206817418768125	0	0.141982494752522	0	0.0846353302060742	0	0	0	0	0.00308729930735752	0.052984581436985	0	0.0496749060631125	0	0	0.535330840731731	0.844814506087645
TCGA.AB.2851.03A	0.0729788895604019	0	0.0224896535141949	0.0221854020681067	0.0281817954910473	0	0	0	0.00569104278675513	0	0.039619162106093	0	0.705858910244245	0	0	0.0280184977620369	0	0	0.0199394298665388	0	0.0503962643267959	0.00464095227378495	0	0.655317153462818	0.75728037274742
TCGA.AB.2822.03A	0.24129346015881	0	0.113557913134655	0.041817703749286	0	0.24083085512003	0.00922397229364486	0	0	0.0286584037223749	0.0540288025536481	0	0.0128199782767188	0	0	0.0415763820040456	0	0.00321616743539472	0.0980045128140267	0	0.114971848737365	0	0.013	0.275524280673434	0.984361523012863
TCGA.AB.2939.03A	0.0900299296434885	0.03078389065456	0.0327805695830688	0.0142630592032473	0	0.0682553625711064	0	0	0	0	0.100938631390115	0	0.139950262107069	0	0	0.0460053802985181	0	0	0.187572362191869	0	0.283352574112659	0.00606797824429952	0.003	0.35090046868702	0.939913620679785
TCGA.AB.2931.03A	0.0477993921470542	0	0.0043015709760644	0.0522327731631917	0	0.172467341020305	0	0	0.00886296606361029	0	0.00107737362293325	0.0362073654854308	0.035148494556309	0	0	0.0391499756350536	0	0	0.308856222377346	0	0.293896524952702	0	0.004	0.337006611196508	0.951421837154434
TCGA.AB.2921.03A	0.0403865271021727	0.0797792869135375	0.0124477826429182	0.0301722681672044	0.0659135279549067	0.00882298859716065	0.0167712621507122	0	0.0115739345653263	0	0.0671546089285689	0	0.500707713911514	0	0.00294251843903561	0.02975293061293	0	0	0.056801554189437	0	0.0767730958245764	0	0.015	0.259170575747235	0.990538223470578
TCGA.AB.2937.03A	0.320329987027084	0	0.00462300230269595	0.0855537096052006	0	0.16327262393723	0	0	0.00465345590922231	0	0.0980066303266403	0	0.109405792914816	0	0	0.0504268242562981	0	0	0.0863124051514352	0.0397694914617411	0.0376460771076374	0	0.011	0.290707444004697	0.974625094547092
TCGA.AB.2917.03A	0.0726581805477562	0	0.0236847220746318	0.0298217515688031	0	0.0696032139001079	0.0114822116202929	0	0	0	0.0426921518297397	0	0.346040841734047	0	0	0	0	0	0.233304122931542	0	0.135817508698139	0.0348952950949401	0.002	0.379295321551899	0.928048407381767
TCGA.AB.2849.03A	0.167203351587785	0	0.29744554210932	0	0.0944157851720574	0.14616763021107	0.0131138379995015	0.0110365138088172	0.0148890542869683	0.133335566192646	0.0399759702105255	0	0.0269130279218342	0	0	0.00453081580313539	0	4.06764279048032e-05	0.0284765932661539	0.00600271368473063	0.00500996521940419	0.011442956098146	0.002	0.368329720062571	0.964668127552602
TCGA.AB.2990.03B	0.132550037191999	0	0.189001378026347	0.0823987329131924	0	0.0996476414932268	0.00976054351638847	0	0	0	0.0898986659839451	0	0.148407820805765	0.000816584942031412	0	0.00700815481591994	0	0	0.0910314541120148	0.000948103980752015	0.148530882218419	0	0.001	0.403973599853254	0.917151793212025
TCGA.AB.3007.03A	0.119413696590526	0	0.0446292840436141	0.205230468790505	0.0810430427309734	0.0224442718688066	0.00472761314155139	0.000434266819366182	0	0	0.0420639760700529	0	0.212738448985789	0	0	0	0	0.0144428741783125	0.24646413469902	0.00205938010570126	0.00430854197578126	0	0.145	0.0912253606141556	1.05315089981801
TCGA.AB.2948.03A	0.00276363632486838	0.0154969018276729	0.0082315792847692	0.00507142837417003	0	0.0405303394436804	0.00739560008678466	0	0.00127650897554727	0	0.0211584767040797	0	0.8698524641805	0	0	0	0	0	0.0282230647979278	0	0	0	0	0.62417692856311	0.785432189161851
TCGA.AB.2971.03A	0.0459970888633747	0	0.00603319376783992	0.0209088504277615	0	0.141253705900538	0.0168978311154007	0	0	0	0.0480546568282286	0	0.583876422994241	0	0	0.035679328997481	0	0	0.0450819399187872	0	0.0562169811863475	0	0.014	0.26157253259882	0.999255520507483
TCGA.AB.2955.03A	0	0.150666022829079	0	0	0.058794033164997	0.0925574897612009	0.00557579357182888	0	0	0.379233206146205	0	0	0.00854547429118081	0	0	0.0365149087998381	0	0.00461337326907042	0.0572949296577522	0	0.206204768508847	0	0.037	0.176953572870138	1.03868487317619
TCGA.AB.2892.03A	0.019358319815529	0.0199821618745577	0	0	0.00326361789783291	0.0719838478741065	0	0	0.0155174457546174	0.0139406993522963	0.024066392648232	0	0.587457304009856	0	0	0.0535461170317545	0.00662411794780216	0	0.146636504875736	0	0.0376234709176801	0	0.00600000000000001	0.328719624216273	0.965751839733036
TCGA.AB.2898.03A	0.145906303153679	0	0.0688897307456086	0.0350554480710311	0.0245043277766797	0.0792404065669453	0	0	0.00781261143882156	0	0.0888412755202438	0	0.362008954759977	0	0	0	0	0	0.0079008787750495	0	0.0485126823113209	0.131327380880643	0.02	0.223756646879713	1.01362739587184
TCGA.AB.2857.03A	0.284355632714026	0	0.0630737380657627	0.0956029601709464	0	0.116529870667821	0	0	0.0357762103658582	0.00734163199603445	0.0564824957518776	0.00705412964641427	0.0443206950727475	0	0	0.011431312748162	0	0.00428154140222442	0.193687466947838	0	0.048873173552818	0.031189140897469	0	0.549210630290307	0.837139723534361
TCGA.AB.2995.03A	0.166612322400728	0	0.139225671925808	0.15481742995377	0	0.216459406283181	0	0	0.0906624556001357	0	0.187838059960876	0	0.01826956426956	0	0	0.00337713311425461	0	0	0	0.00498632652050972	0.0177516299711767	0	0.001	0.41063814948942	0.925378402935896
TCGA.AB.2928.03A	0.2518516005146	0	0.105319116404212	0.0763801192437159	0	0.226933320636729	0	0	0.0152311036153322	0	0.139343004110526	0	0.0200077218727494	0	0	0.0274555044499928	0	0.00126586248707664	0.0377760068547531	0	0.0984366398103131	0	0.051	0.161509013790951	1.0489293131175
TCGA.AB.2913.03A	0.136692543294133	0	0.0850930888256877	0.0895413305405406	0	0.253498111681748	0	0	0	0	0.104523442874822	0	0.115034416575016	0	0	0.0198368958283929	0	0	0.00751009136629437	0.0227760411028141	0.165494037910552	0	0.033	0.188862696570524	1.01648435012118
TCGA.AB.2866.03A	0.0173796986898766	0	3.97147708696051e-07	0.0778396967645526	0	0.0584616561931514	0.00320774788799708	0	0.00196965638569806	0	0.0503045930878153	0	0.615070322384683	0	0	0.0896477691398867	0	0	0.0391850670700296	0	0.0469333952486013	0	0.00700000000000001	0.31515128150737	0.977164235945998
TCGA.AB.2927.03A	0.118924539656041	0.119888188820593	0.0698933409399114	0.0407804631799211	0	0.163600528926671	0.0142019098973864	0	0	0	0.0608079215673042	0	0.256245065648699	0	0	0.0475471382183753	0	0	0.0667058105877869	0	0.04140509255731	0	0	0.549485203169866	0.841392556247999
TCGA.AB.2870.03A	0.0324181878251103	0.0229418297611581	0.0223924777555331	0.0198368558363589	0.00201822254576263	0.0535767778397292	0	0	0	0	0.0374893127443161	0	0.424397508395448	0	0.000255953480498742	0.0683386237355188	0.0152216341423174	0	0.264902853065588	0	0.0362097628726607	0	0.002	0.362571790827313	0.938400395816515
TCGA.AB.2956.03A	0.109024515663677	0	0	0.0531824826484309	0.00323753218944851	0	0.0136965203171257	0	0	0	0.0457583363331027	0	0.705782771605372	0	0	0.0195002065915734	0	0	0.0322089011118541	0	0.0176087335394154	0	0.018	0.230432909837242	1.03956027569515
TCGA.AB.3002.03A	0.343180473908512	0	0.137942744858077	0.0514363210040682	0	0.036718061550908	0.0118085287199806	0	0.00633844041334491	0	0.0665220163280521	0	0.209937636939703	0	0	0	0	0	0.00868569324838796	0	0.127430083028967	0	0	0.623004333703014	0.783058251176158
TCGA.AB.2834.03A	0	0.0226261669848561	0.0109410079992842	0.00982347822161843	0.0259059969137424	0.0227155442120884	0	0	0	0	0.0318957397711992	0	0.66624820364062	0.00298792347360193	0.000508438745094687	0.024061884475831	0	0	0.0879555733926346	0	0.0456356972688739	0.048694344900555	0.00800000000000001	0.309676607099028	0.993207787345805
TCGA.AB.2875.03A	0.0823191787899108	0.0417434054489393	0.0170651155795235	0.0908597957802798	0.0703935140756144	0.0545213240006085	0.0183035147481201	0	0.0113253329723141	0	0.126456468998643	0	0.0833575137996238	0	0.00149012353011231	0.0218805205396109	0	0	0.300374468949418	0.0117850135114893	0.0672801726984508	0.000844536577341592	0.045	0.164424796256229	1.02468685998344
