TCGA.AB.2949.03B	TCGA.AB.2943.03A	TCGA.AB.2851.03A	TCGA.AB.2822.03A	TCGA.AB.2939.03A	TCGA.AB.2931.03A	TCGA.AB.2921.03A	TCGA.AB.2937.03A	TCGA.AB.2917.03A	TCGA.AB.2849.03A	TCGA.AB.2990.03B	TCGA.AB.3007.03A	TCGA.AB.2948.03A	TCGA.AB.2971.03A	TCGA.AB.2955.03A	TCGA.AB.2892.03A	TCGA.AB.2898.03A	TCGA.AB.2857.03A	TCGA.AB.2995.03A	TCGA.AB.2928.03A	TCGA.AB.2913.03A	TCGA.AB.2866.03A	TCGA.AB.2927.03A	TCGA.AB.2870.03A	TCGA.AB.2956.03A	TCGA.AB.3002.03A	TCGA.AB.2834.03A	TCGA.AB.2875.03A	TCGA.AB.2901.03A	TCGA.AB.2858.03A	TCGA.AB.2853.03A	TCGA.AB.2846.03A	TCGA.AB.2994.03A	TCGA.AB.2977.03B	TCGA.AB.2991.03A	TCGA.AB.2886.03A	TCGA.AB.2806.03A	TCGA.AB.2873.03A	TCGA.AB.2885.03A	TCGA.AB.2876.03A	TCGA.AB.2999.03B	TCGA.AB.2982.03B	TCGA.AB.2815.03A	TCGA.AB.2810.03A	TCGA.AB.2941.03A	TCGA.AB.2896.03B	TCGA.AB.3009.03A	TCGA.AB.2859.03A	TCGA.AB.2934.03A	TCGA.AB.2919.03A	TCGA.AB.3000.03A	TCGA.AB.2973.03A	TCGA.AB.2924.03A	TCGA.AB.2915.03A	TCGA.AB.2952.03B	TCGA.AB.2938.03A	TCGA.AB.2935.03A	TCGA.AB.2823.03A	TCGA.AB.2814.03A	TCGA.AB.2899.03A	TCGA.AB.3001.03A	TCGA.AB.2813.03A	TCGA.AB.2942.03A	TCGA.AB.2930.03A	TCGA.AB.2811.03B	TCGA.AB.2842.03A	TCGA.AB.2911.03A	TCGA.AB.2825.03A	TCGA.AB.2920.03B	TCGA.AB.2998.03A	TCGA.AB.2916.03A	TCGA.AB.2839.03A	TCGA.AB.2965.03A	TCGA.AB.2944.03A	TCGA.AB.2861.03A	TCGA.AB.2843.03A	TCGA.AB.2933.03A	TCGA.AB.2894.03A	TCGA.AB.2888.03B	TCGA.AB.2900.03A	TCGA.AB.2966.03A	TCGA.AB.2963.03A	TCGA.AB.2975.03A	TCGA.AB.2881.03A	TCGA.AB.2950.03A	TCGA.AB.2821.03A	TCGA.AB.2912.03A	TCGA.AB.2890.03A	TCGA.AB.2812.03A	TCGA.AB.2817.03A	TCGA.AB.2970.03A	TCGA.AB.2984.03A	TCGA.AB.2946.03A	TCGA.AB.2828.03A	TCGA.AB.2845.03B	TCGA.AB.2883.03A	TCGA.AB.2959.03A	TCGA.AB.2893.03A	TCGA.AB.2863.03A	TCGA.AB.2871.03A	TCGA.AB.2979.03B	TCGA.AB.2987.03A	TCGA.AB.2891.03A	TCGA.AB.2820.03A	TCGA.AB.2897.03A	TCGA.AB.2884.03A	TCGA.AB.2882.03A	TCGA.AB.2981.03B	TCGA.AB.2877.03A	TCGA.AB.2918.03A	TCGA.AB.2889.03A	TCGA.AB.2808.03A	TCGA.AB.2983.03A	TCGA.AB.2830.03A	TCGA.AB.2929.03A	TCGA.AB.2836.03A	TCGA.AB.2910.03A	TCGA.AB.2856.03A	TCGA.AB.2844.03A	TCGA.AB.2908.03A	TCGA.AB.2940.03A	TCGA.AB.2869.03A	TCGA.AB.2996.03A	TCGA.AB.2867.03A	TCGA.AB.2826.03A	TCGA.AB.2872.03A	TCGA.AB.2840.03A	TCGA.AB.3008.03A	TCGA.AB.2992.03A	TCGA.AB.3011.03A	TCGA.AB.2914.03A	TCGA.AB.2818.03A	TCGA.AB.2986.03A	TCGA.AB.2847.03A	TCGA.AB.2805.03A	TCGA.AB.2819.03A	TCGA.AB.2988.03B	TCGA.AB.2841.03B	TCGA.AB.2976.03A	TCGA.AB.2895.03A	TCGA.AB.3012.03A	TCGA.AB.2874.03A	TCGA.AB.2862.03A	TCGA.AB.2980.03A	TCGA.AB.2865.03A	TCGA.AB.2835.03A	TCGA.AB.2878.03A	TCGA.AB.2936.03A	TCGA.AB.2880.03A	TCGA.AB.2932.03A	TCGA.AB.2925.03A
Adipocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0.0084	0	0	0	0
Astrocytes	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B-cells	0	0.0253	0.0294	0	0	0	0.0163	0	0	0	0.0305	0	0	0	0	0	0	0.1366	0	0	0	0	0.0659	0	0.0576	0.0364	0	0.1077	0	0.0235	0	0	0	0	0	0.0917	0	0.0101	0	0.0043	0.0049	0.1135	0.0049	0	0	0	0	0	0.0088	0	0.0189	0.1086	0	0	0.0096	0	0	0	0	0.1651	0	0	0.0032	0.016	0	0	0	0	0	0	0.0118	0	0	0	0	0.0741	0	0.0432	0.0316	0	0	0	0	0.0512	0	0.009	0	0	0	0.1152	0.029	0	0	5e-04	0.0313	0.0037	0.0333	0	0	0.1091	0.0126	0.1432	5e-04	0	0	0.0253	0	0	0	0	0	0	0.0384	0.1535	0	0	0	0	0	0	0	0	0	0.0363	0	0.0029	0.0412	0.0613	0	0.0041	0.0268	0.0055	0	0	0.0188	0.0283	0	0	0	0	0	0	0.0369	0	0	0	0	0.0871	0.0058	0	0
Basophils	0.0576	0.1347	0.0949	0	0.0985	0	0.0765	0	0.0858	0	0.1063	0.0339	0.094	0.1503	0	0.1278	0.0817	0.166	0	0	0.0164	0.2019	0.1218	0.0647	0.0808	0.1042	0.2053	0.0161	0	0	0.0187	0.1126	0.1297	0.098	0.1155	0	0	0.1236	0	0.0194	0.0339	0.0289	0.0903	0.255	0.0151	0.0265	0.0025	0.0206	0.0656	0.0018	0.1088	0.1819	0.154	0.1077	0.0991	0.077	0.1237	0.0203	0.0489	0.1374	0.0855	0.1134	0.0863	0.1795	0.1582	0.083	0.1319	0.0861	0.0648	0.099	0.1745	0.0255	0.1021	0	0.1616	0.1676	0.1181	0.2238	0.1505	0.0738	0	0.1213	0.0843	0.1155	0	0.1509	0.0909	0.1777	0.0805	0.0481	0.0977	0.0601	0.1008	0.0869	0.0729	0.2323	0.0563	0.1877	0.0099	0.0428	0.0435	0.1476	0.0464	0.0031	0.082	0.0523	0.182	0.0527	0.0813	0.0456	0.0656	0.1197	0	0.0386	0.0217	0.0786	0.1582	0.0886	0.1294	0.0975	0.133	0.0486	0.0896	0.2216	0.1737	0.1171	0	0	0.2354	0.0276	0.1156	0.1241	0.1067	0.0738	0.0761	0.0079	0.0856	0.1826	0.0063	0	0.0139	0.0825	0	0	0.034	0.1058	0.0389	0.1376	0.0628	0.0887	0.1443
CD4+ T-cells	0	0.0597	0	2e-04	0	0	0	0	0	0.0177	0	0	0	0.0129	0.0271	0	0	0.0134	0	0	0	0	0	0	0	0	0	0.0053	0	0.0236	0	0	0	0	0	0	0	0	0	0	0.0312	0.0123	0	0	0	0	0	0.0228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0.0243	0	0.0226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113	0	0	0.071	0	6e-04	3e-04	0	0	0	0.0264	0	0	0	0	0	0	0.0112	0	0	0	0	0	0	0	0	0	0.0454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0	0	0.0193	0	0	0
CD4+ Tcm	0	0.0638	0	0.0141	0	0	0	0	0	0.0155	0	0.0138	0	0.03	0	0	0	0.0117	0.0146	0	0	0.004	0.057	0.001	0	0	0	0.0615	0	0.0926	0	0	0.0081	0.0246	0.004	0.0782	0.0011	0	0	0	0.04	0.0294	0	0	0.035	0	0.0126	0.0425	0.0327	0.0276	0	0	0	0	0.0538	0.0167	0	0	0	0	0.0059	0	0	0	0.0349	0	0	0	0.0052	0	0.0497	0	0	0	0	0.0037	0	0	0.0529	0	0.0234	0	0	0.0092	0.0089	0	0	0.071	0	0	0	0	0	0	0	0	0.0213	0	0	0.0824	0.0027	0.0053	0.0081	0.0249	0	0	0.0526	0	0.0068	0	0	0	0	0.0361	0.0076	0	0	0	0	0	0	0.0028	0	0.0309	0	0	0	0	0	0.0099	0	0	0	0.0083	0	0	0	0.0086	0	0	0	0	0.0148	0	0	0	0	0.0785	0	0	0
CD4+ Tem	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0.0311	0	0.0058	0	0	0	0	0	0	0	0.0232	3e-04	0	0	0	0	0.057	0	0	0.0341	0.0399	0	0.0099	0	0	0	0	0.0861	0.0137	0	0	0	0	0	0	0.0158	0	0	0	0	0	0.0347	0.0094	0.0065	0.0031	0	0	0.0133	0	0.0197	0	0	0	0	0	0	0	0.0737	0	0	0	0	2e-04	0	0	0.0762	0	0.0176	0	0	0.0069	0	0	0	0.0098	0	0	0	0	0.0062	0	0.0148	0	0	0	0	0.0408	0.0254	0.0371	0.0621	0	0.0188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0072	0	0	0	0	0	0	0.0092	0	0	0.0355	0	0.0561	0	0	0	0	0	0	0	0
CD4+ memory T-cells	0	0.0499	0	0.0025	0	0	0	0	0	0.0056	0	0	0	0.0076	0.0438	0	0	0.0329	0	0	0.0018	0	0	0	0	0	0	0.0106	0	0.0181	0.0041	0	0	0	0	0	0.0018	0	0	0.0206	0.0229	0.0012	0	0	9e-04	0	0	0.009	0	0	0	0	0	0	0	0.0331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032	0	0	0	0	0	0	0	0.0274	0	0.0245	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0.0335	0	0	0.0492	0	0.0202	0.0056	0	0	0	0.0101	0	0	0	0	0	0	0.0069	0	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0.0102	0	8e-04	0	0	0.0128	0	0	0.0064	0	0	0	0	0.0196	0	0	0.023	0.0104	0	0	0
CD4+ naive T-cells	0	0.1112	0	0	0	0	0	0	0	0.005	0	0	0	0.0095	0.0065	0	0	0.0112	0.0203	0	0	0	0.0285	0	0	0	0	0.0037	0	0.0119	0	0	0	0.002	0	0	0	0.0014	0	0	0.0041	0.02	0	0	0	0	0.0022	0.0726	0	0	0	0.0174	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0.0067	0	0	0	0.0463	0	0	0	0	0	0	0	0.0508	0	0.0201	0	0	0	0	0	0	0.0325	0	0	0	0	0	0	0	0	0	0	0	0.0961	0.003	0.0257	0	0.0149	0	0.0063	0.0662	0	0	0	0	0	0	0.0163	0.0092	0	0	0	0	0	0	0.0056	0	0.0394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549	0	0	0
CD8+ T-cells	0	0.1472	0	0.0243	0	0	0	0	0	0.0186	0.0114	0.0074	0	0.0387	0.0444	0	0	0.0451	0.1186	0	0.0218	0	0.0318	0	0	0	0	0.024	0	0.0185	0.0064	0	0.0319	0	0	0.0067	0	0	0	0.0245	0.0577	0.0742	0	0	0	0	0.0101	0.1377	0	0.0074	0	0.0221	0	0.0378	0.0103	0.0407	0.0481	0	0.0211	0	0.0311	0	0	0	0	0	0	0	0	0	0.0248	0	0	0	0	0	0	0.0027	0.0459	0	0.0387	0	0	0.0258	0	0	0	0.1478	0	0	0.0015	0	0	0	0.0226	0	0.0422	0	0	0.1819	0.0127	0.09	0.0156	0	0	0.0257	0.093	0	0.0075	0	0	0	0.0291	0.054	0.0282	0	0	0	0	0.043	0.0037	0.0239	0	0.0654	0	0	0	0	0	0.0172	0	0	0.0061	0.0453	0	0	0	0	0	0	0	0	0.0102	0.0069	0	0	0	0.0967	0	0	0
