HLA-A34:02	HLA-C06:02	HLA-B57:01	HLA-C07:01	HLA-A02:01	HLA-B08:01	HLA-C16:01	HLA-A29:02	HLA-A03:01	HLA-B44:03	HLA-B07:02	HLA-C07:02	HLA-A24:02	HLA-B15:01	HLA-C03:03	HLA-A26:01	HLA-C02:02	HLA-B44:05	HLA-B27:05	HLA-A30:02	HLA-B57:03	HLA-C18:01	HLA-B39:05	HLA-B51:01	HLA-C01:02	HLA-C03:04	HLA-B40:01	HLA-A01:01	HLA-B55:01	HLA-B27:02	HLA-C04:01	HLA-C05:01	HLA-A68:02	HLA-B53:01	HLA-B18:01	HLA-B56:01	HLA-A30:01	HLA-B13:02	HLA-C12:03	HLA-B44:02	HLA-B38:01	HLA-B14:02	HLA-C08:02	HLA-A11:01	HLA-B13:01
HLA-A34:02	1	0.188504065958368	0.267076150108	0.208363256976061	0.130050047271281	0.12452138095865	0.315931206258756	0.281542039501722	0.693332270345804	0.1409402470725	0.0585141959679905	0.123705167978863	0.066605220679513	0.196625748875308	0.155113106389517	0.518393572213137	0.333239818255127	0.0794172903258257	0.16416554553184	0.229391616292141	0.233466725699325	0.0823861741185012	0.0752307562672763	0.142798600246849	0.118826528843186	0.152144283418372	0.0419220940163091	0.262471312332764	0.144141534968464	0.0769963314117385	0.056737031473661	0.119978165005484	0.451134686609594	0.269597441190207	0.139254172585857	0.0524707411373258	0.379858444729662	0.131228319677001	0.35354916302688	0.205599963675554	0.097298309147854	0.0931617657675521	0.147375142827124	0.7570230742741	0.0687667946200182
HLA-C06:02	0.188504065958368	1	0.531485036784581	0.928894849608984	0.95678006132	0.915065536654801	0.57286015414622	0.308372217913756	0.502694651979135	0.260712575047819	0.541046539128824	0.828374884627325	0.758463895948326	0.783299308080514	0.936117258564928	0.589309468218828	0.92628631279653	0.293010375166428	0.725511177423999	0.696655066961641	0.78350712583714	0.914176309796696	0.739881928449744	0.667277798711398	0.947608599225156	0.938649213719514	0.626719872827151	0.437624521580514	0.533156721110545	0.588104157007865	0.489699364116194	0.937155165899162	0.598332909101595	0.486166716306255	0.244450772226548	0.311253683259311	0.754080817755439	0.887705659562591	0.924530245824894	0.284224329831304	0.735301812023533	0.686466583970708	0.872043219268153	0.303360084521205	0.852372281063701
HLA-B57:01	0.267076150108	0.531485036784581	1	0.629835788411849	0.407516398865104	0.38205003197889	0.796232151767865	0.500341813783951	0.452182128608654	0.408438853782462	0.284225246859677	0.542151380379286	0.485070592938117	0.591538050026029	0.466581724052156	0.51432192515547	0.557537320308051	0.330409285578478	0.43245018433597	0.770824223687761	0.863422328001854	0.375090902344069	0.296674447414785	0.277928194797853	0.386924261541121	0.438663097779845	0.348029261779029	0.450265115383138	0.228653533744486	0.45223617571122	0.404587359677718	0.414332686596414	0.39548087175926	0.547958766093034	0.385777277415712	0.113204656772914	0.551786015165836	0.464468445654678	0.527444770152068	0.39877127178051	0.358050245661317	0.311540413603672	0.45395152113867	0.430980627725122	0.532823835353588
HLA-C07:01	0.208363256976061	0.928894849608984	0.629835788411849	1	0.840772539795819	0.854973306593227	0.718814401264134	0.507649583065243	0.528105051555063	0.371116038325429	0.582332988877517	0.904478318918437	0.76778536798362	0.861350031130999	0.930136381365385	0.640367634486576	0.907977480815456	0.387080702458216	0.761271011790862	0.779935156442683	0.837972413746702	0.854108748622728	0.743906976313808	0.50772035700217	0.873815565507459	0.919230682057762	0.707269666751588	0.58652020471435	0.436219881483908	0.669675302843919	0.52546287239762	0.864746144164829	0.523804723676763	0.534277704044969	0.354455649215466	0.279007944818152	0.708849642326543	0.754382432366653	0.872515694140114	0.396378822154062	0.748650773530346	0.744232741715909	0.895621818239268	0.401124179188301	0.770764594444568
HLA-A02:01	0.130050047271281	0.95678006132	0.407516398865104	0.840772539795819	1	0.917519178797812	0.402557855255371	0.214364798610836	0.440434855032248	0.226597535740766	0.471521341855423	0.726814820239255	0.709036241032503	0.712124622976612	0.905624771351402	0.503714664056877	0.865783247842902	0.281501475706046	0.660997993474475	0.592432949959972	0.695189728253411	0.927389416543636	0.72442617220092	0.645716583541278	0.95424753603136	0.928970679469436	0.618359459452494	0.392999802419614	0.538801176837188	0.480025349513456	0.406956357586635	0.954917823490663	0.533628497843038	0.382557901445314	0.183650062559116	0.287438092159916	0.6896018617147	0.880362764558942	0.872440408923138	0.229660694749159	0.713696542509926	0.642699871780357	0.876228299292123	0.219010616940481	0.841408908108949
HLA-B08:01	0.12452138095865	0.915065536654801	0.38205003197889	0.854973306593227	0.917519178797812	1	0.370929825855313	0.157920965152323	0.36193233523018	0.219356517128903	0.643896980048822	0.765514929217766	0.73228278798112	0.695829420073179	0.913086607383095	0.489197182482302	0.81880583197919	0.301505292437876	0.680006832686256	0.522492401241678	0.668888472202165	0.888179857392352	0.75434595651719	0.5872170042526	0.970192739940486	0.944556196943636	0.691114007670918	0.318098244776863	0.522119603333486	0.485371482603614	0.426478431061234	0.886438153758501	0.494729419935623	0.400689387004413	0.207156275206367	0.393326632299542	0.63878934191669	0.768697343123573	0.815931209536879	0.229547577710229	0.728336269443751	0.795973335101456	0.844491357734843	0.1615296285139	0.791418309055405
HLA-C16:01	0.315931206258756	0.57286015414622	0.796232151767865	0.718814401264134	0.402557855255371	0.370929825855313	1	0.778795395009646	0.598349746976432	0.354010203405026	0.26689837351227	0.634222784487281	0.460388761684197	0.747263423568293	0.536005441519541	0.658622378181388	0.687412884843833	0.223982903214522	0.429557933747754	0.823205477852353	0.732280632661224	0.387718734729805	0.31085618513907	0.325150553033996	0.403862386654026	0.478641174856027	0.28326927703155	0.676846470106504	0.255411545576299	0.525711347788198	0.392536714213499	0.432003008813816	0.402610942690315	0.536565038723887	0.39810145064929	0.133450283689288	0.507664270867201	0.442133702595254	0.652351471896081	0.412614726022275	0.349908981606386	0.303974698379534	0.521706198904488	0.57449190786648	0.470450727104516
HLA-A29:02	0.281542039501722	0.308372217913756	0.500341813783951	0.507649583065243	0.214364798610836	0.157920965152323	0.778795395009646	1	0.523195415759704	0.40077709066396	0.0529459739968145	0.420181486258498	0.201934754221395	0.665149856805444	0.311756962676012	0.591497075674948	0.490925597947184	0.22452959056725	0.239633509304673	0.643114923732765	0.410335091819882	0.217100890282233	0.164572171881846	0.13247516622189	0.178858918908307	0.279556876211148	0.183345722565646	0.913341817559857	0.0623023407028263	0.391564454963837	0.186191032240651	0.269351650768688	0.18786074009814	0.335391420071852	0.409285558112624	0.0335046510445296	0.24563522145724	0.203489546313145	0.444148743990417	0.471842069643225	0.210132686600481	0.137486258681952	0.463401222476966	0.608800668489593	0.199314807977807
HLA-A03:01	0.693332270345804	0.502694651979135	0.452182128608654	0.528105051555063	0.440434855032248	0.36193233523018	0.598349746976432	0.523195415759704	1	0.156139697919475	0.156661388549839	0.400487244717978	0.292437397276218	0.596826665930502	0.427064008487938	0.494448274894682	0.569032266458163	0.0679847090152607	0.43697670745913	0.625069435656685	0.488042632303323	0.354453016248603	0.213333110904212	0.273231627649069	0.387873523512598	0.402284365307365	0.169607763694671	0.504374615429383	0.266844409229064	0.397888677485783	0.145781059498656	0.393747081620552	0.25414395420246	0.223298510948138	0.14624194432905	0.11108571235727	0.708190638599224	0.477689125130218	0.564921748779552	0.193439535358261	0.225793348129522	0.174118855487308	0.417841293895718	0.840874047773474	0.38308633338355
HLA-B44:03	0.1409402470725	0.260712575047819	0.408438853782462	0.371116038325429	0.226597535740766	0.219356517128903	0.354010203405026	0.40077709066396	0.156139697919475	1	0.165525594429139	0.327529114210445	0.287729778657146	0.342381040498467	0.236707226606956	0.538643910019718	0.359387316491109	0.954296163231843	0.358098256882217	0.305803454150075	0.316960456744963	0.208881283691065	0.243095114626162	0.113424864222691	0.18024361879628	0.256800161631939	0.664392387802375	0.243648897517437	0.0592689911493071	0.2872154310525	0.302670840708208	0.241117822006665	0.24445872963226	0.57579127503953	0.83729974732458	0.0606219029371672	0.16959226513475	0.218901570911629	0.306587369438736	0.96870706622827	0.395740106863485	0.477644488578353	0.305895037346061	0.163199408631284	0.357711100177971
HLA-B07:02	0.0585141959679905	0.541046539128824	0.284225246859677	0.582332988877517	0.471521341855423	0.643896980048822	0.26689837351227	0.0529459739968145	0.156661388549839	0.165525594429139	1	0.605512203567579	0.517118140768512	0.453272220307721	0.664187960605657	0.250660129127112	0.471857881815543	0.269963757344173	0.466034044261904	0.310601177509617	0.462371887851377	0.525819005754494	0.553255086129668	0.465702182755696	0.608083045639855	0.640641500175916	0.587459094007124	0.137916279781824	0.609378473089273	0.346739141599804	0.407291203038081	0.502243534713319	0.33436022057566	0.459865659544259	0.181751136054701	0.76976275675059	0.42854356702932	0.409933860280186	0.428049626879535	0.161273732586666	0.515735464318238	0.680893010995683	0.531732953088183	0.108429339092764	0.460058586338306
HLA-C07:02	0.123705167978863	0.828374884627325	0.542151380379286	0.904478318918437	0.726814820239255	0.765514929217766	0.634222784487281	0.420181486258498	0.400487244717978	0.327529114210445	0.605512203567579	1	0.881710386146231	0.824886100106079	0.866853853592578	0.556640396301739	0.801338746267213	0.367261174004578	0.712132425265505	0.69636970978605	0.759461042933718	0.835284029156086	0.829024289126996	0.420250158050858	0.781410855255341	0.829252119304744	0.666778793960594	0.47814176076955	0.360444010323519	0.647561269900365	0.731495813869184	0.808742588569258	0.458040252974894	0.597430050666796	0.401808436507979	0.266594164955753	0.608290865620278	0.647258959925547	0.761225941176397	0.359570043049433	0.831529531241088	0.715323202133526	0.794122433763839	0.286147407926013	0.677083151107077
